query	reference	band	group	band_by_ani	query_path	ref_path
GCA_001421175.1	GCA_012522645.1	0.8-0.85	p__Thermoplasmatota	0.8446	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_001421175.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_012522645.1.fna
GCA_003135935.1	GCA_003153895.1	0.8-0.85	p__Thermoplasmatota	0.8395	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_003135935.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_003153895.1.fna
GCA_015520565.1	GCF_000025665.1	0.8-0.85	p__Thermoplasmatota	0.8358	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_015520565.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000025665.1.fna
GCA_012729095.1	GCA_013329565.1	0.8-0.85	p__Thermoplasmatota	0.8436	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_012729095.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013329565.1.fna
GCA_002504525.1	GCA_001421185.1	0.8-0.85	p__Thermoplasmatota	0.8300	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002504525.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_001421185.1.fna
GCA_902563095.1	GCA_002709705.1	0.8-0.85	p__Thermoplasmatota	0.8199	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_902563095.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002709705.1.fna
GCA_002696315.1	GCA_002720275.1	0.8-0.85	p__Thermoplasmatota	0.8199	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002696315.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002720275.1.fna
GCA_002722135.1	GCA_003602635.1	0.8-0.85	p__Thermoplasmatota	0.8450	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002722135.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_003602635.1.fna
GCA_014361245.1	GCA_014361195.1	0.8-0.85	p__Thermoplasmatota	0.8163	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_014361245.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_014361195.1.fna
GCA_011369655.1	GCA_018396815.1	0.8-0.85	p__Thermoproteota	0.8463	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_011369655.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_018396815.1.fna
GCF_000092185.1	GCA_011053855.1	0.8-0.85	p__Thermoproteota	0.8469	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000092185.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_011053855.1.fna
GCA_002495905.1	GCA_013306035.1	0.8-0.85	p__Thermoproteota	0.8295	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002495905.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013306035.1.fna
GCA_002737445.1	GCA_005798405.1	0.8-0.85	p__Thermoproteota	0.8377	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002737445.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_005798405.1.fna
GCA_002506595.1	GCF_000317795.1	0.8-0.85	p__Thermoproteota	0.8356	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002506595.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000317795.1.fna
GCA_016927895.1	GCA_001273335.1	0.8-0.85	p__Thermoproteota	0.8256	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_016927895.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_001273335.1.fna
GCA_016927015.1	GCA_001273335.1	0.8-0.85	p__Thermoproteota	0.8304	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_016927015.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_001273335.1.fna
GCA_013288545.1	GCF_900167955.1	0.8-0.85	p__Thermoproteota	0.8355	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013288545.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_900167955.1.fna
GCA_001717025.1	GCA_001717035.1	0.8-0.85	p__Thermoproteota	0.8237	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_001717025.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_001717035.1.fna
GCA_005798405.1	GCA_000204585.1	0.8-0.85	p__Thermoproteota	0.8417	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_005798405.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_000204585.1.fna
GCA_011338225.1	GCA_018396775.1	0.8-0.85	p__Thermoproteota	0.8381	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_011338225.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_018396775.1.fna
GCA_016784625.1	GCA_013215285.1	0.8-0.85	p__Thermoproteota	0.8488	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_016784625.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013215285.1.fna
GCA_004322465.1	GCA_016844685.1	0.8-0.85	p__Thermoproteota	0.8439	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_004322465.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_016844685.1.fna
GCA_011362045.1	GCA_017601345.1	0.8-0.85	p__Thermoproteota	0.8439	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_011362045.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_017601345.1.fna
GCA_011605775.1	GCA_011355215.1	0.8-0.85	p__Thermoproteota	0.8401	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_011605775.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_011355215.1.fna
GCA_018396815.1	GCA_018396775.1	0.8-0.85	p__Thermoproteota	0.8414	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_018396815.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_018396775.1.fna
GCA_011605825.1	GCA_011372955.1	0.8-0.85	p__Thermoproteota	0.8437	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_011605825.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_011372955.1.fna
GCA_009889515.1	GCA_002898395.1	0.8-0.85	p__Thermoproteota	0.8280	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_009889515.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002898395.1.fna
GCA_001316125.1	GCA_001316285.1	0.8-0.85	p__Thermoproteota	0.8315	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_001316125.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_001316285.1.fna
GCA_017557885.1	GCA_017650925.1	0.8-0.85	p__UBA3054	0.8429	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_017557885.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_017650925.1.fna
GCA_016933315.1	GCA_002440765.1	0.8-0.85	p__UBA6266	0.8428	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_016933315.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002440765.1.fna
GCA_017645765.1	GCA_002310035.1	0.8-0.85	p__UBP6	0.8402	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_017645765.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002310035.1.fna
GCA_905479975.1	GCF_902728235.1	0.8-0.85	p__Verrucomicrobiota	0.8353	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_905479975.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_902728235.1.fna
GCA_005777315.1	GCA_009695275.1	0.8-0.85	p__Verrucomicrobiota	0.8414	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_005777315.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_009695275.1.fna
GCA_016871755.1	GCA_903862595.1	0.8-0.85	p__Verrucomicrobiota	0.8458	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_016871755.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_903862595.1.fna
GCA_019243005.1	GCA_019247695.1	0.8-0.85	p__Verrucomicrobiota	0.8479	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_019243005.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_019247695.1.fna
GCF_011044495.1	GCF_003315205.1	0.8-0.85	p__Verrucomicrobiota	0.8347	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_011044495.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_003315205.1.fna
GCA_903831825.1	GCA_903863035.1	0.8-0.85	p__Verrucomicrobiota	0.8468	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_903831825.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_903863035.1.fna
GCA_002708885.1	GCA_902591645.1	0.8-0.85	p__Verrucomicrobiota	0.8443	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002708885.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_902591645.1.fna
GCA_003532555.1	GCA_002338345.1	0.8-0.85	p__Verrucomicrobiota	0.8431	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_003532555.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002338345.1.fna
GCA_017450695.1	GCA_017544725.1	0.8-0.85	p__Verrucomicrobiota	0.8444	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_017450695.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_017544725.1.fna
GCA_009697455.1	GCA_005808865.1	0.85-0.9	p__Acidobacteriota	0.8932	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_009697455.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_005808865.1.fna
GCA_013822245.1	GCA_014860455.1	0.85-0.9	p__Acidobacteriota	0.8917	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013822245.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_014860455.1.fna
GCA_009694745.1	GCA_016716905.1	0.85-0.9	p__Acidobacteriota	0.8858	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_009694745.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_016716905.1.fna
GCA_011053445.1	GCA_011056055.1	0.85-0.9	p__Acidobacteriota	0.8695	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_011053445.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_011056055.1.fna
GCA_009845425.1	GCA_012270995.1	0.85-0.9	p__Acidobacteriota	0.8742	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_009845425.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_012270995.1.fna
GCA_012719455.1	GCA_016934555.1	0.85-0.9	p__Acidobacteriota	0.8682	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_012719455.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_016934555.1.fna
GCA_004377005.1	GCA_011773465.1	0.85-0.9	p__Acidobacteriota	0.8873	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_004377005.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_011773465.1.fna
GCA_902505605.1	GCA_005223145.1	0.85-0.9	p__Acidobacteriota	0.8811	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_902505605.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_005223145.1.fna
GCA_003132145.1	GCA_003142215.1	0.85-0.9	p__Acidobacteriota	0.8869	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_003132145.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_003142215.1.fna
GCA_011049425.1	GCA_016926835.1	0.85-0.9	p__Acidobacteriota	0.8601	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_011049425.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_016926835.1.fna
GCA_003170915.1	GCA_003142355.1	0.85-0.9	p__Acidobacteriota	0.8853	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_003170915.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_003142355.1.fna
GCA_009861545.1	GCA_011523845.1	0.85-0.9	p__Acidobacteriota	0.8632	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_009861545.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_011523845.1.fna
GCA_017998715.1	GCA_018057705.1	0.85-0.9	p__Acidobacteriota	0.8540	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_017998715.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_018057705.1.fna
GCA_003151335.1	GCA_003152695.1	0.85-0.9	p__Acidobacteriota	0.8992	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_003151335.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_003152695.1.fna
GCA_019239425.1	GCA_019242475.1	0.85-0.9	p__Acidobacteriota	0.8874	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_019239425.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_019242475.1.fna
GCA_002731215.1	GCA_002722645.1	0.85-0.9	p__Acidobacteriota	0.8916	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002731215.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002722645.1.fna
GCA_011523845.1	GCA_011523485.1	0.85-0.9	p__Acidobacteriota	0.8730	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_011523845.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_011523485.1.fna
GCA_003152325.1	GCA_003167255.1	0.85-0.9	p__Acidobacteriota	0.8880	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_003152325.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_003167255.1.fna
GCA_016716705.1	GCA_016714815.1	0.85-0.9	p__Acidobacteriota	0.8912	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_016716705.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_016714815.1.fna
GCA_903937385.1	GCA_903880675.1	0.85-0.9	p__Acidobacteriota	0.8508	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_903937385.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_903880675.1.fna
GCA_009837085.1	GCA_012270995.1	0.85-0.9	p__Acidobacteriota	0.8807	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_009837085.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_012270995.1.fna
GCA_012270995.1	GCA_009843505.1	0.85-0.9	p__Acidobacteriota	0.8705	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_012270995.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_009843505.1.fna
GCA_016719485.1	GCA_002414905.1	0.85-0.9	p__Acidobacteriota	0.8697	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_016719485.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002414905.1.fna
GCF_003344865.1	GCF_003073135.1	0.85-0.9	p__Actinobacteriota	0.8884	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_003344865.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_003073135.1.fna
GCF_018324685.1	GCF_016865425.1	0.85-0.9	p__Actinobacteriota	0.8932	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_018324685.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_016865425.1.fna
GCA_018896525.1	GCA_018894655.1	0.85-0.9	p__Actinobacteriota	0.8590	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_018896525.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_018894655.1.fna
GCF_001423185.1	GCF_900177795.1	0.85-0.9	p__Actinobacteriota	0.8832	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_001423185.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_900177795.1.fna
GCF_900106035.1	GCF_003236295.1	0.85-0.9	p__Actinobacteriota	0.8876	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_900106035.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_003236295.1.fna
GCF_002159915.1	GCF_002899695.1	0.85-0.9	p__Actinobacteriota	0.8900	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_002159915.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_002899695.1.fna
GCF_900103975.1	GCA_014218215.1	0.85-0.9	p__Actinobacteriota	0.8545	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_900103975.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_014218215.1.fna
GCF_006715515.1	GCF_014648255.1	0.85-0.9	p__Actinobacteriota	0.8902	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_006715515.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_014648255.1.fna
GCA_003158895.1	GCA_003153855.1	0.85-0.9	p__Actinobacteriota	0.8621	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_003158895.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_003153855.1.fna
GCA_905182565.1	GCA_905477545.1	0.85-0.9	p__Actinobacteriota	0.8954	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_905182565.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_905477545.1.fna
GCA_019247305.1	GCA_019240665.1	0.85-0.9	p__Actinobacteriota	0.8503	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_019247305.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_019240665.1.fna
GCF_900108585.1	GCA_001594145.1	0.85-0.9	p__Actinobacteriota	0.8667	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_900108585.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_001594145.1.fna
GCF_003387475.1	GCF_018263855.1	0.85-0.9	p__Actinobacteriota	0.8788	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_003387475.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_018263855.1.fna
GCF_016862555.1	GCF_003387075.1	0.85-0.9	p__Actinobacteriota	0.8540	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_016862555.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_003387075.1.fna
GCA_013698135.1	GCA_013812395.1	0.85-0.9	p__Actinobacteriota	0.8653	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013698135.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013812395.1.fna
GCA_003170375.1	GCA_003166375.1	0.85-0.9	p__Actinobacteriota	0.8968	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_003170375.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_003166375.1.fna
GCF_007991735.1	GCF_001429185.1	0.85-0.9	p__Actinobacteriota	0.8785	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_007991735.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_001429185.1.fna
GCF_011250635.1	GCF_011250645.1	0.85-0.9	p__Actinobacteriota	0.8538	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_011250635.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_011250645.1.fna
GCA_003170375.1	GCA_003139355.1	0.85-0.9	p__Actinobacteriota	0.8558	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_003170375.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_003139355.1.fna
GCA_902373435.1	GCF_000411415.1	0.85-0.9	p__Actinobacteriota	0.8890	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_902373435.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000411415.1.fna
GCF_003550025.1	GCF_000515355.1	0.85-0.9	p__Actinobacteriota	0.8715	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_003550025.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000515355.1.fna
GCA_001767575.1	GCA_018333515.1	0.85-0.9	p__Actinobacteriota	0.8834	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_001767575.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_018333515.1.fna
GCF_006517435.1	GCF_006517535.1	0.85-0.9	p__Actinobacteriota	0.8766	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_006517435.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_006517535.1.fna
GCA_003132645.1	GCA_003157715.1	0.85-0.9	p__Actinobacteriota	0.8906	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_003132645.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_003157715.1.fna
GCF_018139695.1	GCF_000504285.1	0.85-0.9	p__Actinobacteriota	0.8694	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_018139695.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000504285.1.fna
GCF_002263495.1	GCF_014201195.1	0.85-0.9	p__Actinobacteriota	0.8671	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_002263495.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_014201195.1.fna
GCF_009834925.2	GCF_003339815.1	0.85-0.9	p__Actinobacteriota	0.8742	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_009834925.2.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_003339815.1.fna
GCF_000768675.1	GCF_007992835.1	0.85-0.9	p__Actinobacteriota	0.8771	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000768675.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_007992835.1.fna
GCF_002871995.1	GCF_000411155.1	0.85-0.9	p__Actinobacteriota	0.8746	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_002871995.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000411155.1.fna
GCF_014126825.1	GCF_007559025.1	0.85-0.9	p__Actinobacteriota	0.8824	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_014126825.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_007559025.1.fna
GCA_009837815.1	GCA_012270885.1	0.85-0.9	p__Actinobacteriota	0.8693	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_009837815.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_012270885.1.fna
GCF_002259645.1	GCF_003952005.1	0.85-0.9	p__Actinobacteriota	0.8712	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_002259645.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_003952005.1.fna
GCF_009708005.2	GCF_010287905.1	0.85-0.9	p__Actinobacteriota	0.8892	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_009708005.2.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_010287905.1.fna
GCA_009844405.1	GCA_009843735.1	0.85-0.9	p__Actinobacteriota	0.8849	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_009844405.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_009843735.1.fna
GCF_000341185.1	GCF_000341245.1	0.85-0.9	p__Actinobacteriota	0.8822	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000341185.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_000341245.1.fna
GCF_016862515.1	GCF_900107455.1	0.85-0.9	p__Actinobacteriota	0.8665	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_016862515.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_900107455.1.fna
GCA_900544245.1	GCA_900556425.1	0.85-0.9	p__Actinobacteriota	0.8827	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_900544245.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_900556425.1.fna
GCF_011764565.1	GCF_011764545.1	0.85-0.9	p__Actinobacteriota	0.8826	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_011764565.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_011764545.1.fna
GCF_016918015.1	GCF_003265355.1	0.85-0.9	p__Actinobacteriota	0.8573	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_016918015.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCF_003265355.1.fna
GCA_002346305.1	GCA_009694285.1	0.85-0.9	p__Actinobacteriota	0.8551	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002346305.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_009694285.1.fna
GCA_016198685.1	GCA_018304585.1	0.85-0.9	p__Aenigmatarchaeota	0.8736	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_016198685.1.fna	/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_018304585.1.fna
